endpoint,chem1,chem2,percent
CNS,Cyanide,Ethylbenzene,35
CNS,Cyanide,Xylene,44
CNS,Ethylbenzene,Cyanide,6
CNS,Ethylbenzene,Xylene,92
CNS,Xylene,Cyanide,5
CNS,Xylene,Ethylbenzene,60
carc_CNS,Acetaldehyde,Acrylonitrile,3
carc_CNS,Acetaldehyde,Benzenamine,2
carc_CNS,Acetaldehyde,Styrene,8
carc_CNS,Acetaldehyde,Benzene,21
carc_CNS,Acetaldehyde,Tribromomethane,0.2
carc_CNS,Acetaldehyde,Vinyl Chloride,2
carc_CNS,Acrylonitrile,Acetaldehyde,13
carc_CNS,Acrylonitrile,Benzenamine,12
carc_CNS,Acrylonitrile,Styrene,58
carc_CNS,Acrylonitrile,Benzene,20
carc_CNS,Acrylonitrile,Tribromomethane,0
carc_CNS,Acrylonitrile,Vinyl Chloride,5
carc_CNS,Benzenamine,Acetaldehyde,27
carc_CNS,Benzenamine,Acrylonitrile,27
carc_CNS,Benzenamine,Styrene,47
carc_CNS,Benzenamine,Benzene,53
carc_CNS,Benzenamine,Tribromomethane,0
carc_CNS,Benzenamine,Vinyl Chloride,13
carc_CNS,Styrene,Acetaldehyde,3
carc_CNS,Styrene,Acrylonitrile,5
carc_CNS,Styrene,Benzenamine,2
carc_CNS,Styrene,Benzene,15
carc_CNS,Styrene,Tribromomethane,0.07
carc_CNS,Styrene,Vinyl Chloride,1
carc_CNS,Benzene,Acetaldehyde,12
carc_CNS,Benzene,Acrylonitrile,2
carc_CNS,Benzene,Benzenamine,3
carc_CNS,Benzene,Styrene,22
carc_CNS,Benzene,Tribromomethane,0.1
carc_CNS,Benzene,Vinyl Chloride,2
carc_CNS,Tribromomethane,Acetaldehyde,50
carc_CNS,Tribromomethane,Acrylonitrile,0
carc_CNS,Tribromomethane,Benzenamine,0
carc_CNS,Tribromomethane,Styrene,50
carc_CNS,Tribromomethane,Benzene,50
carc_CNS,Tribromomethane,Vinyl Chloride,50
carc_CNS,Vinyl Chloride,Acetaldehyde,27
carc_CNS,Vinyl Chloride,Acrylonitrile,14
carc_CNS,Vinyl Chloride,Benzenamine,14
carc_CNS,Vinyl Chloride,Styrene,34
carc_CNS,Vinyl Chloride,Benzene,50
carc_CNS,Vinyl Chloride,Tribromomethane,2
carc,Creosotes,"3,3'-Dichlorobenzidine",2
carc,Creosotes,"3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,Creosotes,"4,4'-Methylene bis(2-chloroaniline) ",13
carc,Creosotes,N-Nitroso- diphenylamine,2
carc,"3,3'-Dichlorobenzidine",Creosotes,100
carc,"3,3'-Dichlorobenzidine","3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,"3,3'-Dichlorobenzidine","4,4'-Methylene bis(2-chloroaniline) ",100
carc,"3,3'-Dichlorobenzidine",N-Nitroso- diphenylamine,0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ",Creosotes,0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ","3,3'-Dichlorobenzidine",0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ","4,4'-Methylene bis(2-chloroaniline) ",0
carc,"3,3'-Dichlorobenzidine dihydrochloride  ",N-Nitroso- diphenylamine,0
carc,"4,4'-Methylene bis(2-chloroaniline) ",Creosotes,67
carc,"4,4'-Methylene bis(2-chloroaniline) ","3,3'-Dichlorobenzidine",8
carc,"4,4'-Methylene bis(2-chloroaniline) ","3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,"4,4'-Methylene bis(2-chloroaniline) ",N-Nitroso- diphenylamine,8
carc,N-Nitroso- diphenylamine,Creosotes,17
carc,N-Nitroso- diphenylamine,"3,3'-Dichlorobenzidine",0
carc,N-Nitroso- diphenylamine,"3,3'-Dichlorobenzidine dihydrochloride  ",0
carc,N-Nitroso- diphenylamine,"4,4'-Methylene bis(2-chloroaniline) ",17
carc_metals,Cadmium,Nickel,71
carc_metals,Cadmium,Arsenic,41
carc_metals,Cadmium,Chromium,19
carc_metals,Cadmium,Lead,89
carc_metals,Nickel,Cadmium,3
carc_metals,Nickel,Arsenic,6
carc_metals,Nickel,Chromium,53
carc_metals,Nickel,Lead,44
carc_metals,Arsenic,Cadmium,17
carc_metals,Arsenic,Nickel,70
carc_metals,Arsenic,Chromium,12
carc_metals,Arsenic,Lead,99
carc_metals,Chromium,Cadmium,1
carc_metals,Chromium,Nickel,82
carc_metals,Chromium,Arsenic,2
carc_metals,Chromium,Lead,30
carc_metals,Lead,Cadmium,2
carc_metals,Lead,Nickel,20
carc_metals,Lead,Arsenic,4
carc_metals,Lead,Chromium,9
cardio,Barium Carbonate,Cobalt,23
cardio,Barium Carbonate,Molybdenum,19
cardio,Barium Carbonate,Naphthalene,29
cardio,Barium Carbonate,"2,5-Furandione",8
cardio,Cobalt,Barium Carbonate,2
cardio,Cobalt,Molybdenum,12
cardio,Cobalt,Naphthalene,20
cardio,Cobalt,"2,5-Furandione",2
cardio,Molybdenum,Barium Carbonate,7
cardio,Molybdenum,Cobalt,55
cardio,Molybdenum,Naphthalene,47
cardio,Molybdenum,"2,5-Furandione",4
cardio,Naphthalene,Barium Carbonate,1
cardio,Naphthalene,Cobalt,16
cardio,Naphthalene,Molybdenum,5
cardio,Naphthalene,"2,5-Furandione",3
cardio,"2,5-Furandione",Barium Carbonate,3
cardio,"2,5-Furandione",Cobalt,8
cardio,"2,5-Furandione",Molybdenum,4
cardio,"2,5-Furandione",Naphthalene,25
edcs,Nonylphenol,Bisphenol A,7
edcs,Nonylphenol,Decabromodiphenyl ethers ,0.5
edcs,Bisphenol A,Nonylphenol,16
edcs,Bisphenol A,Decabromodiphenyl ethers ,0
edcs,Decabromodiphenyl ethers ,Nonylphenol,10
edcs,Decabromodiphenyl ethers ,Bisphenol A,0
