"","chemical","average_release_unique_trifd","average_release_repeated_trifd"
"1","3,3'-Dichlorobenzidine dihydrochloride",14.790083,NA
"2","4,4'-Isopropylidenediphenol",143731.219333333,4747.83971677333
"3","4,4'-Methylenebis(2-chloroaniline)",7.57767366666667,73.1933333333333
"4","Acetaldehyde",45409.7081238351,130587.425577833
"5","Acrylonitrile",16294.3886956522,411746.258098765
"6","Aniline",8088.7125,493812.819087179
"7","Arsenic",114.232181818182,6212657.18672746
"8","Barium",5539.7,199734.819967479
"9","Benzene",4267.38515733333,23860.8299071985
"10","Bromoform",42530.6,3
"11","Cadmium",31.42,120663.368072155
"12","Chromium",283.491904088889,13619.4547187062
"13","Cobalt",345.738477913043,30184.2386296206
"14","Creosote",22959.144,42121.1654854063
"15","Cyanide compounds",9135.59542758621,364057.868856885
"16","Decabromodiphenyl oxide",5.66666666666667,1545
"17","Ethylbenzene",10278.0692543636,11435.032114278
"18","Hexachloro-1,3-butadiene",385.63,941.627214285714
"19","Hydrogen fluoride",35182.7054780172,192223.223773767
"20","Lead",11419.3294966977,1271984.46634456
"21","Maleic anhydride",1899.87666418605,33120.6161520202
"22","Molybdenum trioxide",299.166666666667,45246.4722878372
"23","Naphthalene",5583.75898050661,10442.7835567339
"24","Nickel",727.734377613793,29072.9550864258
"25","Nonylphenol",1137.71051300971,10944.0756823357
"26","Styrene",181291.931623567,31810.5649287348
"27","Vinyl chloride",75324.1422769231,57101.9980613939
"28","3,3'-Dichlorobenzidine",NA,64
"29","N-Nitrosodiphenylamine",NA,11.4791668333333
"30","Xylene",NA,59746.0135849462
